"","ID","del","m","n","b","cn","cp","cnp","cpn","g","rhop","rhon","Cnp"
"201",201,0.1,0.2,0,0.8,0.05,0.15,0.15,0.2,0,0,0.719,NA
"202",202,0.1,0.2,0,0.7,0.05,0.15,0.15,0.2,0,0,0.675,NA
"203",203,0.1,0.2,0,0.6,0.05,0.15,0.15,0.2,0,0,0.614,NA
"204",204,0.1,0.2,0,0.5,0.05,0.15,0.15,0.2,0,0,0.527,NA
"205",205,0.1,0.2,0,0.4,0.05,0.15,0.15,0.2,0,0,0.394,NA
"206",206,0.1,0.2,0,0.8,0.1,0.15,0.15,0.2,0,0,0.705,NA
"207",207,0.1,0.2,0,0.7,0.1,0.15,0.15,0.2,0,0,0.657,NA
"208",208,0.1,0.2,0,0.6,0.1,0.15,0.15,0.2,0,0,0.592,NA
"209",209,0.1,0.2,0,0.5,0.1,0.15,0.15,0.2,0,0,0.499,NA
"210",210,0.1,0.2,0,0.4,0.1,0.15,0.15,0.2,0,0,0.362,NA
"211",211,0.1,0.2,0,0.8,0.15,0.15,0.15,0.2,0,0.69,0,NA
"212",212,0.1,0.2,0,0.7,0.15,0.15,0.15,0.2,0,0.638,0,NA
"213",213,0.1,0.2,0,0.6,0.15,0.15,0.15,0.2,0,0.569,0,NA
"214",214,0.1,0.2,0,0.5,0.15,0.15,0.15,0.2,0,0.472,0,NA
"215",215,0.1,0.2,0,0.4,0.15,0.15,0.15,0.2,0,0.333,0,NA
"216",216,0.1,0.2,0,0.8,0.2,0.15,0.15,0.2,0,0.69,0,NA
"217",217,0.1,0.2,0,0.7,0.2,0.15,0.15,0.2,0,0.638,0,NA
"218",218,0.1,0.2,0,0.6,0.2,0.15,0.15,0.2,0,0.569,0,NA
"219",219,0.1,0.2,0,0.5,0.2,0.15,0.15,0.2,0,0.472,0,NA
"220",220,0.1,0.2,0,0.4,0.2,0.15,0.15,0.2,0,0.333,0,NA
"221",221,0.1,0.2,0,0.8,0.05,0.2,0.15,0.2,0,0,0.719,NA
"222",222,0.1,0.2,0,0.7,0.05,0.2,0.15,0.2,0,0,0.675,NA
"223",223,0.1,0.2,0,0.6,0.05,0.2,0.15,0.2,0,0,0.614,NA
"224",224,0.1,0.2,0,0.5,0.05,0.2,0.15,0.2,0,0,0.527,NA
